Coca	may1	2016-5-18 11:43:7
Coca	may1	2016-5-18 11:45:10
Coca	may1	2016-5-18 11:45:10
Coca	may1	2016-5-18 11:45:10
Coca	may1	2016-5-18 11:46:37
Coca	may1	2016-5-18 11:47:44
Coca	may1	2016-5-18 11:49:36
Coca	may1	2016-5-18 11:50:43
may1	Coca	2016-5-18 11:52:9
may1	Coca	2016-5-18 18:31:40
may1	Coca	2016-5-18 18:31:40
may1	Coca	2016-5-18 18:34:48
may1	Coca	2016-5-18 18:35:57
may1	Coca	2016-5-18 18:35:57
may2	Coca	2016-5-18 18:35:57
may1	Coca	2016-5-18 18:38:8
may1	Coca	2016-5-18 18:39:37
may1	Coca	2016-5-18 18:43:53
may1	Coca	2016-5-18 18:44:58
may1	Coca	2016-5-18 18:44:58
may1	Coca	2016-5-18 18:47:41
may1	Pepsi	2016-5-18 18:47:41
may1	Coca	2016-5-18 18:49:53
may1	Coca	2016-5-18 18:53:6
may2	Coca	2016-5-18 18:56:8
may2	Coca	2016-5-18 18:57:31
may2	Coca	2016-5-18 18:59:15
may2	Coca	2016-5-18 18:59:15
may1	Coca	2016-5-18 18:59:15
may1	Coca	2016-5-18 19:9:46
may1	Coca	2016-5-18 19:12:13
may1	Coca	2016-5-18 19:13:42
may1	Coca	2016-5-18 19:18:40
may1	Coca	2016-5-18 19:21:23
may1	Coca	2016-5-18 19:23:20
may1	Coca	2016-5-18 19:25:2
may1	Coca	2016-5-18 19:26:21
may1	Coca	2016-5-18 19:32:29
